x,y,coordIdx,ts,id,posID,TIME,X_raw,Y_raw,NBS,VARX,VARY,COVXY,SD,tide_number,tidaltime,resTime,fpt,revisits
650280.596955988,5901870.63281134,1,2018-08-21T14:50:02Z,435,88647,1534855802.901,650280.596955988,5901870.63281134,4,157.918,27.884,-61.0978,7.97536206074684,22,0.0333333333333333,3.10824115673701,2.37583450476329,4
650280.596955988,5901870.63281134,2,2018-08-21T14:50:05Z,435,88648,1534855805.901,650280.596955988,5901870.63281134,3,186.516,32.2457,-72.8122,8.55203484557915,22,0.0833333333333333,3.10824115673701,2.37583450476329,4
650280.596955988,5901870.63281134,3,2018-08-21T14:50:08Z,435,88649,1534855808.901,650280.596955988,5901870.63281134,4,217.469,37.7314,-84.0288,9.33503079802097,22,0.133333333333333,3.10824115673701,2.37583450476329,4
650280.596955988,5901870.63281134,4,2018-08-21T14:50:11Z,435,88650,1534855811.901,650280.596955988,5901870.63281134,3,6343.49,981.811,-2490.27,48.4227322649187,22,0.183333333333333,3.10824115673701,2.37583450476329,4
650280.596955988,5901870.63281134,5,2018-08-21T14:50:14Z,435,88651,1534855814.901,650280.596955988,5901870.63281134,4,130.512,23.5302,-50.2817,7.31292007340433,22,0.233333333333333,3.10824115673701,2.37583450476329,4
650264.19737161,5901875.66951444,6,2018-08-21T14:50:17Z,435,88652,1534855817.901,650264.19737161,5901875.66951444,3,174.299,30.9475,-68.3869,8.27482326095247,22,0.283333333333333,3.1089852253596,2.36661821603775,4
650273.060874081,5901872.50029136,7,2018-08-21T14:50:20Z,435,88653,1534855820.901,650273.060874081,5901872.50029136,4,6.78933,2.98975,-2.75405,2.06663494599312,22,0.333333333333333,3.10842409531275,2.37168125708898,4
650287.94041337,5901868.08422799,8,2018-08-21T14:50:23Z,435,88654,1534855823.901,650287.94041337,5901868.08422799,4,169.914,28.607,-65.9663,8.16017156682382,22,0.383333333333333,3.1077260573705,2.38001535733541,4
650277.693192009,5901870.86491159,9,2018-08-21T14:50:26Z,435,88655,1534855826.9,650277.693192009,5901870.86491159,4,75.668,14.2583,-29.5985,5.54340148284427,22,0.433333333333333,3.10811471144358,2.37432355086009,4
650272.728508152,5901870.5260528,10,2018-08-21T14:50:29Z,435,88656,1534855829.9,650272.728508152,5901870.5260528,4,151.061,27.0586,-58.9593,7.75893033864849,22,0.483333333333333,3.10742313464483,2.37184705336889,4
650287.778301322,5901868.34083066,11,2018-08-21T14:50:32Z,435,88657,1534855832.9,650287.778301322,5901868.34083066,4,139.563,24.2357,-53.9571,7.47559362191391,22,0.533333333333333,3.10781713326772,2.37988538742065,4
650280.608150968,5901868.15986429,12,2018-08-21T14:50:35Z,435,88658,1534855835.9,650280.608150968,5901868.15986429,4,115.746,20.9458,-45.0077,6.83201288054992,22,0.583333333333333,3.10708872477214,2.37627356847127,4
650290.335611023,5901864.80035622,13,2018-08-21T14:50:38Z,435,88659,1534855838.9,650290.335611023,5901864.80035622,4,118.371,21.165,-45.7979,6.92388619201674,22,0.633333333333333,3.10636804501216,2.38180896043777,4
650290.335611023,5901864.80035622,14,2018-08-21T14:50:41Z,435,88660,1534855841.9,650290.335611023,5901864.80035622,4,119.138,21.3261,-46.2692,6.92283901300615,22,0.683333333333333,3.10636804501216,2.38180896043777,4
650273.228523232,5901873.05015241,15,2018-08-21T14:50:44Z,435,88661,1534855844.9,650273.228523232,5901873.05015241,4,151.777,26.4899,-59.3942,7.7122305463465,22,0.733333333333333,3.10866146087646,2.37166552146276,4
650294.565091977,5901862.74386391,16,2018-08-21T14:50:47Z,435,88662,1534855847.9,650294.565091977,5901862.74386391,4,123.193,21.6565,-47.6471,7.03955254259814,22,0.783333333333333,3.10568192799886,2.38431149323781,4
650280.344625634,5901871.19521989,17,2018-08-21T14:50:50Z,435,88663,1534855850.899,650280.344625634,5901871.19521989,4,132.032,23.2307,-51.2964,7.25740311681803,22,0.833333333333333,3.10843674341838,2.3756009221077,4
650270.317798174,5901872.05803762,18,2018-08-21T14:50:53Z,435,88664,1534855853.899,650270.317798174,5901872.05803762,4,17.1315,6.44855,-5.78955,3.46423873311295,22,0.883333333333333,3.10794498523076,2.37036109368006,4
650283.989241387,5901870.89596177,19,2018-08-21T14:50:56Z,435,88665,1534855856.899,650283.989241387,5901870.89596177,4,119.42,21.1165,-46.3004,6.92356122237682,22,0.933333333333333,3.10851577917735,2.37748636007309,4
650283.989241387,5901870.89596177,20,2018-08-21T14:50:59Z,435,88666,1534855859.899,650283.989241387,5901870.89596177,4,158.926,27.6977,-61.0943,8.02714768769081,22,0.983333333333333,3.10851577917735,2.37748636007309,4
650281.125475584,5901870.46280629,21,2018-08-21T14:51:02Z,435,88667,1534855862.899,650281.125475584,5901870.46280629,4,197.079,33.8451,-76.4685,8.83103051744246,22,1.03333333333333,3.10821077823639,2.37613289753596,4
650300.746931215,5901860.62609685,22,2018-08-21T14:51:05Z,435,88668,1534855865.899,650300.746931215,5901860.62609685,4,162.237,28.4773,-62.0959,8.15613266199122,22,1.08333333333333,3.10516268014908,2.38782658576965,4
650275.77175797,5901876.21319249,23,2018-08-21T14:51:08Z,435,88669,1534855868.899,650275.77175797,5901876.21319249,4,128.87,23.2355,-49.626,7.27004126535744,22,1.13333333333333,3.10959771076838,2.37228304942449,4
650278.741045349,5901871.90511737,24,2018-08-21T14:51:11Z,435,88670,1534855871.898,650278.741045349,5901871.90511737,3,120.989,22.4313,-46.5568,7.0927216214934,22,1.18333333333333,3.10859657923381,2.37465844154358,4
